Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
WEE   1,00 02 37.4,-02 21 12,1.740,18.5,0.,0.000,QSO radio quiet
Q 0000+0159,00 02 38.0,02 15 58,1.073,18.1,0.,0.000,QSO radio quiet
BG KPN  1,00 02 53.7,01 26 19,2.803,20.6,0.,0.000,QSO radio quiet
Q 0000+025A,00 02 57.9,02 48 38,1.684,17.2,0.,0.000,QSO radio quiet
Q 0000+027A,00 03 00.5,03 02 25,2.384,17.7,0.,0.000,QSO radio quiet
Q 0000-029,00 03 01.4,-02 41 41,2.310,17.7,0.,0.000,QSO radio quiet
Q 0000-398,00 03 03.6,-39 32 08,2.827,18.5,0.,0.000,QSO radio loud flat
MARK  334,00 03 09.6,21 57 36,0.022,14.6,11.,0.240,Seyfert type 1
UM  16,00 03 10.1,04 44 55,0.058,16.1,0.,0.000,Seyfert type 2
Q 0000+025B,00 03 19.8,02 51 34,0.310,17.7,0.,0.000,QSO radio quiet
WEE   2,00 03 21.5,-02 00 24,2.200,20.4,0.,0.000,QSO radio quiet
PKS 0000-17,00 03 22.1,-17 27 14,1.465,18.7,894.,0.000,QSO radio loud steep
Q 0000-26,00 03 23.0,-26 03 18,4.111,17.2,0.,0.003,QSO radio quiet
WEE   3,00 03 26.9,-01 59 54,2.220,19.7,0.,0.000,QSO radio quiet
Q 0000-4244,00 03 27.3,-42 27 22,1.700,20.1,0.,0.000,QSO radio quiet
Q 0000-4239,00 03 29.2,-42 22 32,2.190,20.8,0.,0.000,QSO radio quiet
BG KPN  2,00 03 30.3,00 08 12,2.590,20.3,0.,0.000,QSO radio quiet
BG KPN  3,00 03 31.1,01 54 18,2.220,19.7,0.,0.000,QSO radio quiet
NGC 7808,00 03 32.1,-10 44 40,0.029,14.8,0.,0.000,Seyfert type 1
Q 0001+0214,00 03 36.1,02 30 49,0.232,20.7,0.,0.000,Galaxy unbarred
0001+0842,00 03 42.6,08 59 40,3.241,19.0,0.,0.000,QSO radio quiet
TEX 0001-121,00 03 42.9,-11 51 48,1.300,17.7,0.,0.000,QSO radio loud
Q 0001-007A,00 03 49.9,-00 26 53,2.190,17.7,0.,0.000,QSO radio quiet
Q 0001-0159,00 03 51.1,-01 42 45,1.364,17.4,0.,0.000,QSO radio quiet
Q 0001-4227,00 03 50.8,-42 11 08,2.240,18.9,0.,0.000,QSO radio quiet
BG CFH  1,00 03 55.9,-00 55 27,2.490,21.8,0.,0.000,QSO radio quiet
Q 0001-4256,00 03 56.6,-42 39 27,2.030,18.5,0.,0.000,QSO radio quiet
BG CFH  2,00 03 60.0,-00 30 37,0.354,20.1,0.,0.000,Galaxy unbarred
BG CFH  3,00 04 01.2,-00 39 01,2.340,20.7,0.,0.000,QSO radio quiet
Q 0001+022A,00 04 01.6,02 31 50,2.260,18.2,0.,0.000,QSO radio quiet
Q 0001-021,00 04 08.5,-01 49 37,1.550,20.7,0.,0.000,QSO radio quiet
BG CFH  4,00 04 16.4,-01 05 13,2.250,20.0,0.,0.000,QSO radio quiet
Q 0001-4225,00 04 15.8,-42 09 10,1.300,20.2,0.,0.000,QSO radio quiet
BG CFH  5,00 04 16.6,-00 53 02,2.010,19.1,0.,0.000,QSO radio quiet
